customer_id,customer_name,invoice_date,invoice_id,discount_percent
1,Kimberly Potts,02/10/2023,2,3
3,Tracey Yang,03/04/2022,4,1
5,Ralph Camacho,04/07/2023,6,4
7,Jasmine Franco,02/24/2022,8,8
9,Erika Mcdaniel,05/19/2022,10,6
11,Christopher Pratt,03/25/2023,12,3
13,Lori Johnson,03/26/2022,14,6
15,Daniel Francis,01/18/2022,16,6
17,Sheila Bridges,04/13/2023,18,2
19,Latoya Jones,09/01/2022,20,4
21,Marilyn Beck,06/20/2022,22,3
23,Danielle Ingram,01/27/2022,24,4
25,Mary Mccormick,12/15/2022,26,4
27,Collin Leach,03/25/2022,28,4
29,Alexander Barker,05/15/2023,30,4
31,Christopher Gonzales,02/26/2022,32,4
33,Robert Rose,08/30/2022,34,8
35,Eddie Dixon,02/07/2022,36,5
37,Nicholas Lozano,01/20/2023,38,6
39,Debra Mckenzie,10/09/2022,40,3
41,Jennifer Franklin,08/25/2022,42,4
43,Julie Harvey,01/26/2022,44,4
45,Donna Curtis,08/10/2022,46,8
47,Kevin Hammond,06/17/2022,48,5
49,John Wood,03/18/2022,50,8
51,Megan Pierce,12/29/2022,52,5
53,Margaret Allen,03/22/2023,54,7
55,Susan Pope,08/04/2022,56,4
57,Taylor Rivas,04/19/2022,58,5
59,Kent Owens,10/30/2022,60,6
61,Jacob Meza,08/06/2022,62,3
63,Jaime Smith,03/30/2023,64,5
65,Thomas Nash,03/23/2022,66,6
67,James Gonzalez,04/17/2022,68,4
69,Keith Carson,05/19/2023,70,7
71,Lee Mayer,02/05/2022,72,5
73,Austin Smith,03/05/2023,74,3
75,Shannon Stark,02/18/2022,76,4
77,Terry Ingram,03/07/2023,78,2
79,Monique Cook,09/09/2022,80,4
81,Joshua Carter,04/17/2023,82,6
83,Christopher Brown,11/13/2022,84,4
85,Stacy Gibson,05/31/2022,86,8
87,George Chung,04/29/2023,88,9
89,Jesus Neal,02/25/2023,90,5
91,Nicholas Murray,09/17/2022,92,4
93,Angela Pham,01/08/2022,94,4
95,Arthur Avila,10/01/2022,96,8
97,Andrea Wagner,02/28/2023,98,6
99,Arthur Jackson,05/31/2022,100,4
101,Deborah Mcintosh,04/14/2022,102,8
103,Jason Rivera,10/07/2022,104,1
105,Edward Young,01/04/2023,106,4
107,Kayla Hoffman,03/21/2022,108,4
109,Tanya Kirby,08/18/2022,110,4
111,Pamela Dunlap,11/05/2022,112,3
113,Sue Miller,02/25/2023,114,6
115,April Prince,08/03/2022,116,7
117,Jonathan Montgomery,01/29/2022,118,1
119,Randall Thompson,12/17/2022,120,5
121,Amanda Harris,04/06/2023,122,2
123,Carrie Bowman,01/03/2022,124,2
